batch_size,momentum,best_test_acc,final_test_acc,steps_to_target,samples_to_target,epochs_to_target,total_steps,total_epochs
64,0.8,0.9344,0.9326,3510,224640,4.4928,19525,24.992
64,0.9,0.9353,0.9352,3900,249600,4.992,19525,24.992
64,0.95,0.9373,0.936,3900,249600,4.992,19525,24.992
64,0.99,0.937,0.9342,3510,224640,4.4928,19525,24.992
128,0.8,0.9329,0.9293,2145,274560,5.4912,9750,24.96
128,0.9,0.9352,0.9327,2340,299520,5.9904,9750,24.96
128,0.95,0.9368,0.9358,1950,249600,4.992,9750,24.96
128,0.99,0.9353,0.9302,2145,274560,5.4912,9750,24.96
256,0.8,0.9321,0.9305,1261,322816,6.45632,4875,24.96
256,0.9,0.9317,0.9257,1358,347648,6.95296,4875,24.96
256,0.95,0.9315,0.9294,1067,273152,5.46304,4875,24.96
256,0.99,0.9313,0.9303,1067,273152,5.46304,4875,24.96
512,0.8,0.9249,0.9246,576,294912,5.89824,2425,24.832
512,0.9,0.9299,0.9171,768,393216,7.86432,2425,24.832
512,0.95,0.9313,0.9286,672,344064,6.88128,2425,24.832
512,0.99,0.9268,0.9194,624,319488,6.38976,2425,24.832
1024,0.8,0.917,0.9082,528,540672,10.81344,1200,24.576
1024,0.9,0.9266,0.9247,336,344064,6.88128,1200,24.576
1024,0.95,0.9269,0.9224,432,442368,8.84736,1200,24.576
1024,0.99,0.9222,0.9204,480,491520,9.8304,1200,24.576
2048,0.8,0.9115,0.9115,372,761856,15.23712,600,24.576
2048,0.9,0.9162,0.9157,288,589824,11.79648,600,24.576
2048,0.95,0.9198,0.9198,264,540672,10.81344,600,24.576
2048,0.99,0.9125,0.9066,420,860160,17.2032,600,24.576
